taxon_key,taxon_name,common_name,genus,species
614575,Cyttus novaezealandiae,New Zealand dory,Cyttus,novaezealandiae
649232,Capromimus abbreviatus,Capro dory,Capromimus,abbreviatus
690005,Acetes japonicus,Akiami paste shrimp,Acetes,japonicus
690039,Panulirus cygnus,Australian spiny lobster,Panulirus,cygnus
690042,Fenneropenaeus merguiensis,Banana prawn,Fenneropenaeus,merguiensis
690049,Haliotis rubra,Blacklip abalone,Haliotis,rubra
690050,Tegillarca granosa,Granular ark,Tegillarca,granosa
690055,Portunus pelagicus,Blue swimming crab,Portunus,pelagicus
690060,Perna viridis,Brown mussel,Perna,viridis
690088,Octopus vulgaris,Common octopus,Octopus,vulgaris
690120,Metapenaeus endeavouri,Endeavour shrimp,Metapenaeus,endeavouri
690151,Penaeus monodon,Giant tiger prawn,Penaeus,monodon
690161,Sagmariasus verreauxi,Green rock lobster,Sagmariasus,verreauxi
690163,Penaeus semisulcatus,Green tiger prawn,Penaeus,semisulcatus
690189,Fenneropenaeus indicus,Indian white prawn,Fenneropenaeus,indicus
690190,Scylla serrata,Indo-Pacific swamp crab,Scylla,serrata
690194,Haliporoides sibogae,Jackknife shrimp,Haliporoides,sibogae
690228,Panulirus longipes,Longlegged spiny lobster,Panulirus,longipes
690257,Metanephrops challengeri,New Zealand lobster,Metanephrops,challengeri
690258,Perna canaliculus,New Zealand green mussel,Perna,canaliculus
690259,Pecten novaezelandiae,New Zealand scallop,Pecten,novaezelandiae
690283,Crassostrea gigas,Pacific cupped oyster,Crassostrea,gigas
690321,Jasus edwardsii,Red rock lobster,Jasus,edwardsii
690430,Nototodarus sloanii,Wellington flying squid,Nototodarus,sloanii
690432,Melicertus latisulcatus,Western king prawn,Melicertus,latisulcatus
690679,Chlamys delicatula,Delicate scallop,Chlamys,delicatula
690681,Thenus orientalis,Flathead lobster,Thenus,orientalis
690683,Aristaeomorpha foliacea,Giant red shrimp,Aristaeomorpha,foliacea
690688,Paphies australis,Pipi wedge clam,Paphies,australis
